,TRTID10,state,county,tract,placefp10,cbsa10,metdiv10,ccflag10,POP00SF3,RUANC00,ITANC00,GEANC00,IRANC00,SCANC00,RUFB00,ITFB00,GEFB00,IRFB00,SCFB00,FB00,NAT00,N10IMM00,AG5UP00,OLANG00,LEP00,AG25UP00,HS00,COL00,AG15UP00,Mar-00,WDS00,CLF00,UNEMP00,DFLABF00,FLABF00,EMPCLF00,PROF00,MANUF00,SEMP00,AG18CV00,VET00,CNI16U00,DIS00,DPOV00,NPOV00,N65POV00,DFMPOV00,NFMPOV00,DWPOV00,NWPOV00,DBPOV00,NBPOV00,DNAPOV00,NNAPOV00,DHPOV00,NHPOV00,DAPOV00,NAPOV00,INCPC00,HU00SP,H30OLD00,OHU00SP,H10YRS00,DMULTI00,MULTI00,HINC00,HINCW00,HINCB00,HINCH00,HINCA00,MHMVAL00,MRENT00,HH00,HHW00,HHB00,HHH00,HHA00,geoid
12835,9001010101,CT,Fairfield County,Census Tract 101.01,99999,14860,99999,0,4661.0,186.0,674.0,334.0,439.0,156.0,15.0,59.0,70.0,22.0,21.0,757.0,447.0,202.0,4323.0,721.0,78.0,3279.0,833.0,2076.0,3636.0,2530.0,463.0,2157.0,30.0,1916.0,877.0,2127.0,1271.0,152.0,569.0,3452.0,409.0,2655.0,129.0,4370.0,143.0,14.0,1269.0,8.0,4072.0,129.0,0.0,0.0,6.0,6.0,46.0,8.0,181.0,0.0,116277.0,1643.0,1150.0,1483.0,785.0,1643.0,53.0,188949,197035, ,200001,112500,1000001,1354,1488.0,1399.0,0.0,17.0,52.0,9001010101
12836,9001010102,CT,Fairfield County,Census Tract 101.02,99999,14860,99999,0,4476.0,214.0,341.0,432.0,368.0,90.0,18.0,7.0,65.0,0.0,43.0,531.0,294.0,122.0,4163.0,680.0,52.0,2954.0,360.0,2211.0,3271.0,2452.0,339.0,1841.0,67.0,1666.0,598.0,1774.0,1100.0,106.0,575.0,3109.0,373.0,2664.0,285.0,4473.0,178.0,0.0,1247.0,19.0,4030.0,112.0,57.0,6.0,0.0,0.0,218.0,29.0,151.0,31.0,125558.0,1594.0,1106.0,1443.0,709.0,1594.0,19.0,200001,200001,200001,87255,98214.28571,1000001,995,1450.0,1332.0,13.0,60.0,39.0,9001010102
12837,9001010201,CT,Fairfield County,Census Tract 102.01,99999,14860,99999,0,3435.0,166.0,213.0,278.0,289.0,116.0,10.0,0.0,63.0,17.0,32.0,568.0,323.0,164.0,3189.0,586.0,34.0,2272.0,429.0,1600.0,2559.0,1754.0,363.0,1341.0,46.0,1387.0,519.0,1295.0,863.0,43.0,273.0,2416.0,247.0,1915.0,136.0,3228.0,56.0,12.0,848.0,6.0,2931.0,56.0,7.0,0.0,0.0,0.0,99.0,0.0,121.0,0.0,124406.0,1087.0,816.0,1030.0,621.0,1087.0,61.0,200001,200001, ,55938,161904.7619,1000001,692,1035.0,949.0,0.0,24.0,56.0,9001010201
12838,9001010202,CT,Fairfield County,Census Tract 102.02,17520,14860,99999,0,5218.0,173.0,1357.0,293.0,385.0,218.0,19.0,110.0,33.0,0.0,99.0,1076.0,413.0,516.0,4827.0,1138.0,47.0,3586.0,751.0,2228.0,4001.0,2808.0,433.0,2424.0,96.0,2076.0,986.0,2328.0,1469.0,158.0,486.0,3801.0,446.0,3214.0,289.0,5218.0,128.0,16.0,1510.0,21.0,4536.0,110.0,30.0,0.0,0.0,0.0,207.0,8.0,401.0,10.0,64638.0,1941.0,1303.0,1871.0,950.0,1941.0,361.0,108651,109071,90271,78630,129166.6667,769300,1605,1877.0,1699.0,10.0,42.0,126.0,9001010202
12839,9001010300,CT,Fairfield County,Census Tract 103,33690,14860,99999,0,4120.0,46.0,474.0,331.0,483.0,138.0,8.0,29.0,28.0,0.0,42.0,716.0,309.0,281.0,3857.0,625.0,92.0,2854.0,313.0,2046.0,3102.0,2150.0,379.0,1716.0,74.0,1650.0,707.0,1642.0,1065.0,144.0,469.0,2977.0,321.0,2458.0,181.0,4120.0,156.0,17.0,1143.0,22.0,3693.0,129.0,0.0,0.0,8.0,0.0,117.0,0.0,254.0,27.0,106032.0,1597.0,1117.0,1479.0,929.0,1597.0,245.0,170028,176674, ,200001,84722.22222,1000001,1833,1475.0,1404.0,0.0,9.0,50.0,9001010300
12840,9001010400,CT,Fairfield County,Census Tract 104,59210,14860,99999,0,5116.0,40.0,1320.0,203.0,715.0,137.0,0.0,37.0,41.0,0.0,28.0,763.0,374.0,279.0,4805.0,901.0,109.0,3853.0,1528.0,1491.0,4223.0,2383.0,746.0,2542.0,117.0,2328.0,1275.0,2425.0,1210.0,245.0,393.0,4088.0,623.0,3187.0,652.0,5107.0,56.0,18.0,1388.0,0.0,4554.0,45.0,11.0,11.0,0.0,0.0,268.0,11.0,200.0,0.0,45926.0,2171.0,1479.0,2094.0,1093.0,2171.0,635.0,77471,75257, ,104979,155357.1429,430000,1338,2090.0,1910.0,0.0,90.0,67.0,9001010400
12841,9001010500,CT,Fairfield County,Census Tract 105,33690,14860,99999,0,5641.0,77.0,1266.0,239.0,573.0,90.0,12.0,134.0,22.0,9.0,33.0,1532.0,540.0,722.0,5392.0,1588.0,360.0,4207.0,1787.0,1546.0,4782.0,2165.0,1020.0,3160.0,147.0,2644.0,1646.0,3013.0,1319.0,245.0,242.0,4595.0,351.0,3787.0,601.0,5636.0,443.0,64.0,1391.0,56.0,3920.0,157.0,621.0,36.0,0.0,0.0,739.0,229.0,203.0,0.0,39331.0,2513.0,1998.0,2468.0,1666.0,2513.0,1823.0,52971,61046,32097,22313,91847.82609,343600,1177,2492.0,1927.0,236.0,195.0,55.0,9001010500
12842,9001010600,CT,Fairfield County,Census Tract 106,33690,14860,99999,0,2035.0,101.0,234.0,145.0,204.0,46.0,0.0,26.0,10.0,6.0,0.0,605.0,185.0,288.0,1950.0,538.0,87.0,1716.0,312.0,1100.0,1813.0,708.0,323.0,1357.0,58.0,979.0,661.0,1299.0,692.0,60.0,236.0,1786.0,69.0,1503.0,198.0,2028.0,134.0,6.0,388.0,28.0,1645.0,94.0,59.0,34.0,0.0,0.0,130.0,10.0,166.0,0.0,69322.0,1259.0,1062.0,1156.0,1015.0,1259.0,1065.0,75416,78725,41250,47625,78409.09091,422700,1039,1145.0,973.0,24.0,57.0,68.0,9001010600
12843,9001010700,CT,Fairfield County,Census Tract 107,33690,14860,99999,0,3785.0,98.0,536.0,287.0,499.0,115.0,0.0,34.0,28.0,28.0,66.0,917.0,448.0,374.0,3605.0,879.0,170.0,2862.0,1069.0,1301.0,3201.0,1585.0,740.0,1757.0,50.0,1823.0,811.0,1707.0,771.0,154.0,326.0,3099.0,343.0,2220.0,487.0,3785.0,283.0,57.0,970.0,23.0,2907.0,149.0,170.0,98.0,14.0,0.0,482.0,18.0,172.0,20.0,45371.0,1824.0,1585.0,1770.0,1178.0,1824.0,1180.0,52115,61086,6094,33702,81250,397800,677,1790.0,1479.0,75.0,143.0,64.0,9001010700
12844,9001010800,CT,Fairfield County,Census Tract 108,17520,14860,99999,0,3386.0,57.0,719.0,216.0,458.0,107.0,0.0,96.0,11.0,0.0,21.0,684.0,211.0,382.0,3139.0,785.0,111.0,2408.0,608.0,1385.0,2653.0,1611.0,386.0,1743.0,28.0,1411.0,770.0,1715.0,1018.0,133.0,304.0,2580.0,260.0,2169.0,271.0,3386.0,106.0,8.0,937.0,10.0,2936.0,91.0,5.0,0.0,0.0,0.0,88.0,6.0,331.0,9.0,53289.0,1422.0,1098.0,1373.0,829.0,1422.0,451.0,86478,84922, ,28542,121428.5714,488800,1365,1376.0,1249.0,0.0,27.0,94.0,9001010800
12845,9001010900,CT,Fairfield County,Census Tract 109,64530,14860,99999,0,4812.0,145.0,925.0,347.0,565.0,166.0,39.0,62.0,13.0,33.0,25.0,991.0,362.0,496.0,4429.0,939.0,135.0,3436.0,951.0,1820.0,3738.0,2260.0,727.0,2452.0,89.0,1969.0,1171.0,2363.0,1304.0,176.0,372.0,3592.0,378.0,2957.0,241.0,4796.0,186.0,38.0,1325.0,22.0,3923.0,172.0,71.0,0.0,0.0,0.0,254.0,14.0,503.0,0.0,49144.0,1949.0,1470.0,1873.0,1015.0,1949.0,435.0,88402,88668,31000,45875,126136.3636,414400,1639,1881.0,1647.0,26.0,71.0,133.0,9001010900
12846,9001011000,CT,Fairfield County,Census Tract 110,56900,14860,99999,0,5143.0,159.0,662.0,447.0,920.0,117.0,0.0,21.0,103.0,0.0,8.0,621.0,204.0,328.0,4634.0,657.0,9.0,3404.0,423.0,2583.0,3684.0,2699.0,451.0,2321.0,34.0,1915.0,878.0,2287.0,1536.0,169.0,488.0,3519.0,440.0,2966.0,198.0,5143.0,192.0,0.0,1455.0,39.0,4674.0,119.0,46.0,0.0,11.0,0.0,145.0,0.0,260.0,73.0,76732.0,1887.0,1356.0,1821.0,1110.0,1887.0,216.0,136052,137483,127308,153612,88194.44444,787000,2001,1834.0,1689.0,8.0,47.0,83.0,9001011000
