geoid,typology_old,medrent90,medrent00,medrent16,medhval90,medhval00,medhval16,percol90,percol00,percol16,pernwh90,pernwh00,pernwh16,perli90,perli00,perli16,per_rent_90,per_rent_00,per_rent16,pop00,pop16,asian_16_low,carcommuters_00,pre50_16,hhwch16,empd15,density16,aland,li16,afford90,belowmedcol90,abovemednwh,abovemedli,abovemedrent,vulnrisk90,vuln90,afford00,belowmedcol00,abovemednwh00,abovemedli00,abovemedrent00,vulnrisk00,vuln00,afford16,belowmedcol16,abovemednwh16,abovemedli16,abovemedrent16,vulnrisk16,vuln16,hotmarket90(127%-169%),hotmarket00(110%-207%),percol16,edudiff0016,abm_dif_0016,edudiff9000,abm_dif_9000,hinc90_NYU,hinc00_NYU,hinc16_NYU,hinc90,hinc00,hinc16,pct_ch_hinc90_00,pct_ch_hinc00_16,abm_inc_90_00,abm_inc_00_16,li16,gent90_00,gent00_16,Type_1.19,ch_all_li_count90_00,ch_all_li_count00_16,liloss9016,per_limove16,per_limove09,exclusion,popgrowth0016,Incch0016,li_hh_16,Typology_final_1.19.19
9001010101,MHI - At Risk of Exclusion,1001,1601,1510,500001,1000001,1494000,0.5162923126,0.3540713632,0.6195974946,0.06827215338,0.06608024029,0.1449661255,0.08930211524,0.08205764785,0.2979667783,0.1581595974,0.1281186784,0.182492584,4661,4132,0.06171345595,0.6982758621,0.256875,0.3078635015,2467,0.0001260986405,32767998,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,1,0,0.61959749,0.2655261268,1,-0.1622209493,0,94647,188949,150655,173204.0093,273976.05,150655,0.5818112493,-0.4501161575,1,0,0,0,0,VHI - Super Gentrification or Exclusion,-19.55026245,136.0813599,0,0.6400990486,0.3994323015,0,0,0.5498838311,401.65921,LI - At Risk of Gentrification
9001010102,MHI - Advanced Exclusion,1000.999968,1244,1628,500001.0059,1000000,2000000,0.619490385,0.74847662,0.7849779129,0.081150703,0.098972298,0.1571633965,0.12292307,0.15290615,0.1651341319,0.109222487,0.10810811,0.1067285389,4476,4174,0,0,0.14607465,0,74.15811675,0.0001279577155,32620151,0,0,0,0,0,0,FALSE,0,1,1,1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.78497791,0.03650129,0,0.128986235,1,#N/A,#N/A,#N/A,274501.8267,290000,250000,0.05645927042,-0.137931034,1,0,0,0,0,VHI - Super Gentrification or Exclusion,48.47680664,-7.125137329,0,0.4056389332,0.5011153221,1,0,0.8620689655,213.51843,LI - At Risk of Gentrification
9001010201,MHI - Advanced Exclusion,1000.999996,833,2113,499472.1825,1000000,2000000,0.602176842,0.70422536,0.7613892555,0.076997916,0.088500731,0.1711931676,0.11263287,0.092268594,0.1826309115,0.15336697,0.13786408,0.2290615588,3435,3277,0,0,0.35267451,0,235.0924191,0.0002910491937,11259265,0,0,0,0,0,0,FALSE,0,1,1,1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.76138926,0.0571639,0,0.102048518,1,#N/A,#N/A,#N/A,273595.1146,290000,212448,0.05996044725,-0.2674206793,1,0,0,0,0,VHI - Super Gentrification or Exclusion,-13.43575287,85.95057678,0,0.4642397463,0.3962181509,0,0,0.7325793103,180.98723,LI - At Risk of Gentrification
9001010202,MHI - Displacement of LI hh - Ongoing Exclusion,1001,1791,2250,500001,769300,1459900,0.5523809524,0.342163971,0.6628788114,0.07789179104,0.1307014182,0.2609087527,0.1191645044,0.1123018753,0.1956284642,0.1524390244,0.2137894174,0.25,5218,5546,0.1233321313,0.7481481481,0.1791122715,0.4261853448,500,0.000568576404,9754186,0,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.66287881,0.320714839,1,-0.2102169814,0,89564,108651,187875,157618.5186,157543.95,187875,-0.0004730951914,0.1925243735,0,1,0,0,0,VHI - Super Gentrification or Exclusion,38.88369751,-84.88815308,0,0.3480436504,0.4504249096,1,1,1.192524372,363.08643,LI - At Risk of Gentrification
9001010300,MHI - At Risk of Exclusion,1001,1967,1900,500001,1000001,2000001,0.6477508651,0.3577435179,0.8054460883,0.07482656095,0.1036407767,0.1378118098,0.07348350243,0.07478870508,0.2160680443,0.2935461485,0.2738336714,0.2815330923,4120,4049,0.04791306495,0.6342692585,0.4897832817,0.3665505226,5277,0.0004214199135,9607994,0,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,0,0.80544609,0.4477025721,1,-0.2900073472,0,101753,170028,221250,186207.992,246540.6,221250,0.3240065575,-0.1025818884,1,0,0,0,0,VHI - Super Gentrification or Exclusion,-19.13200378,58.64305115,0,0.3950261176,0.4935227931,1,0,0.8974181129,310.05765,LI - At Risk of Gentrification
9001010400,MHI - At Risk of Exclusion,1001,1414,2223,336900,430000,666900,0.3063015156,0.2473397353,0.5609699488,0.05451277955,0.1080922596,0.2131007314,0.2215025704,0.1649557608,0.248733446,0.2861476239,0.2841451767,0.3072378039,5116,5847,0.04121771849,0.8539325843,0.2778517532,0.3692762186,1635,0.002160907204,2705808,0,0,0,0,1,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.56096995,0.3136302147,1,-0.05896178028,0,54015,77471,107965,98847.45042,112332.95,107965,0.1364273876,-0.03888396174,1,1,0,0,0,MHI - Ongoing Exclusion,-111.6838379,-128.0574036,1,0.4889724851,0.4977843761,1,1,0.9611160394,505.17764,LI - At Risk of Gentrification
9001010500,LI - Not Losing Low-Income Households,869,1290,1767,307600,343600,585700,0.3188209843,0.2412645591,0.4419795275,0.2080889788,0.3050877504,0.4287603199,0.2277090305,0.1970655056,0.5229309201,0.7304545455,0.7135332253,0.765289247,5641,6050,0.1130578512,0.7079086116,0.4045245399,0.344214876,2996,0.00333802496,1812449,1,0,0,1,1,1,1,0,1,0,1,1,0,FALSE,0,0,0,0,1,1,FALSE,0,1,1,0.1182757766,-0.1229887825,0,-0.07755642525,0,40914,52971,65593,74791.04069,76807.95,65593,0.02696725912,-0.1460128874,0,0,0,0,0,MHI - Stable or Early Stage of Exclusion,63.70373535,70.09594727,0,0.6469773054,0.6353757381,0,1,0.8539871198,1265.4928,LI - At Risk of Gentrification
9001010600,LI - Not Losing Low-Income Households,811,1107,1834,404500,422700,706400,0.4539473684,0.3479020979,0.6920415163,0.2467076383,0.1882063882,0.2788235247,0.1940634128,0.1436790742,0.4039542973,0.6994906621,0.634083045,0.6370808482,2035,1700,0.1258823529,0.5860082305,0.6072980017,0.0808678501,10222,0.001924864608,883179,1,0,0,1,1,1,1,0,1,0,1,1,0,FALSE,0,0,0,0,1,1,FALSE,0,1,1,0.2309579627,-0.1169441352,0,-0.1060452705,0,41573,75416,93810,76078.58916,109353.2,93810,0.437371552,-0.1421375871,1,0,0,0,0,MHI - Stable or Early Stage of Exclusion,-138.1227722,42.98797607,0,0.4715455472,0.7674245238,1,0,0.8578624128,409.60965,LI - At Risk of Gentrification
9001010700,LI - Not Losing Low-Income Households,643,710,1276,454100,397800,681900,0.4037335286,0.2403913347,0.532815814,0.1520250998,0.2319682959,0.226541549,0.1419736385,0.1325029609,0.4873849452,0.4405552203,0.4480225989,0.5259433985,3785,3730,0.05495978552,0.6339622642,0.3809264305,0.227004717,540,0.00201052155,1855240,1,0,0,0,0,1,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,1,1,FALSE,0,0,1,0.1547647803,-0.08562655441,0,-0.1633421938,0,45115,52115,73831,82560.44881,75566.75,73831,-0.0847100392,-0.02296975814,0,1,0,0,0,MHI - Stable or Early Stage of Exclusion,116.7925415,-61.65319824,0,0.5617884398,0.2932572365,0,0,0.9770302415,826.60486,LI - At Risk of Gentrification
9001010800,MHI - At Risk of Exclusion,1001,1495,1726,369600,488800,885500,0.420080591,0.3409468439,0.7349869609,0.09944079747,0.1329001772,0.2485189587,0.1200266921,0.1401924128,0.3171411753,0.3433962264,0.2942461763,0.3046937287,3386,3376,0.09389810427,0.6888178914,0.4941605839,0.3198090692,1464,0.001735107296,1945701,0,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.1777363826,-0.1632104613,0,-0.07913374715,0,55730,86478,128494,101985.9043,125393.1,128494,0.2295140326,0.02472943068,1,1,0,0,0,MHI - Stable or Early Stage of Exclusion,44.4770813,-11.8097229,0,0.5243571997,0.1579830796,0,0,1.024729431,398.64645,LI - At Risk of Gentrification
