geoid,Type_1.19
9001010101,VHI - Super Gentrification or Exclusion
9001010102,VHI - Super Gentrification or Exclusion
9001010201,VHI - Super Gentrification or Exclusion
9001010202,VHI - Super Gentrification or Exclusion
9001010300,VHI - Super Gentrification or Exclusion
9001010400,MHI - Ongoing Exclusion
9001010500,MHI - Stable or Early Stage of Exclusion
9001010600,MHI - Stable or Early Stage of Exclusion
9001010700,MHI - Stable or Early Stage of Exclusion
9001010800,MHI - Stable or Early Stage of Exclusion
9001010900,MHI - Ongoing Exclusion
9001011000,VHI - Super Gentrification or Exclusion
9001011100,VHI - Super Gentrification or Exclusion
9001011200,VHI - Super Gentrification or Exclusion
9001011300,MHI - Advanced Exclusion
9001020100,LI - At Risk of Gentrification
9001020200,VHI - Super Gentrification or Exclusion
9001020300,VHI - Super Gentrification or Exclusion
9001020400,VHI - Super Gentrification or Exclusion
9001020500,VHI - Super Gentrification or Exclusion
9001020600,MHI - Stable or Early Stage of Exclusion
9001020700,MHI - Advanced Gentrification
9001020800,MHI - Advanced Gentrification
9001020900,MHI - Stable or Early Stage of Exclusion
9001021000,MHI - Stable or Early Stage of Exclusion
9001021100,MHI - Stable or Early Stage of Exclusion
9001021200,MHI - Advanced Gentrification
9001021300,MHI - Ongoing Exclusion
9001021400,LI - Not Losing Low-Income Households
9001021500,LI - Ongoing Displacement of Low-Income Households
9001021600,MHI - Ongoing Exclusion
9001021700,MHI - Stable or Early Stage of Exclusion
9001021801,MHI - Stable or Early Stage of Exclusion
9001021802,LI - At Risk of Gentrification
9001021900,MHI - Stable or Early Stage of Exclusion
9001022000,LI - At Risk of Gentrification
9001022100,MHI - Stable or Early Stage of Exclusion
9001022200,MHI - Stable or Early Stage of Exclusion
9001022300,MHI - Stable or Early Stage of Exclusion
9001030100,VHI - Super Gentrification or Exclusion
9001030200,VHI - Super Gentrification or Exclusion
9001030300,VHI - Super Gentrification or Exclusion
9001030400,VHI - Super Gentrification or Exclusion
9001030500,VHI - Super Gentrification or Exclusion
9001035100,MHI - Stable or Early Stage of Exclusion
9001035200,VHI - Super Gentrification or Exclusion
9001035300,VHI - Super Gentrification or Exclusion
9001035400,VHI - Super Gentrification or Exclusion
9001042500,MHI - Advanced Gentrification
9001042600,MHI - Stable or Early Stage of Exclusion
9001042700,MHI - Stable or Early Stage of Exclusion
9001042800,MHI - Ongoing Exclusion
9001042900,MHI - Advanced Gentrification
9001043000,MHI - Ongoing Exclusion
9001043100,MHI - Stable or Early Stage of Exclusion
9001043200,MHI - Ongoing Exclusion
9001043300,MHI - Stable or Early Stage of Exclusion
9001043400,LI - Ongoing Displacement of Low-Income Households
9001043500,MHI - Advanced Gentrification
9001043600,MHI - Stable or Early Stage of Exclusion
9001043700,LI - At Risk of Gentrification
9001043800,MHI - Ongoing Exclusion
9001043900,MHI - Stable or Early Stage of Exclusion
9001044000,LI - Ongoing Displacement of Low-Income Households
9001044100,MHI - Ongoing Exclusion
9001044200,MHI - Ongoing Exclusion
9001044300,MHI - Stable or Early Stage of Exclusion
9001044400,LI - Not Losing Low-Income Households
9001044500,LI - At Risk of Gentrification
9001044600,VHI - Super Gentrification or Exclusion
9001045101,VHI - Super Gentrification or Exclusion
9001045102,VHI - Super Gentrification or Exclusion
9001045200,MHI - Stable or Early Stage of Exclusion
9001045300,VHI - Super Gentrification or Exclusion
9001045400,VHI - Super Gentrification or Exclusion
9001050100,VHI - Super Gentrification or Exclusion
9001050200,MHI - Ongoing Exclusion
9001050300,VHI - Super Gentrification or Exclusion
9001050400,MHI - Stable or Early Stage of Exclusion
9001050500,VHI - Super Gentrification or Exclusion
9001050600,VHI - Super Gentrification or Exclusion
9001055100,VHI - Super Gentrification or Exclusion
9001055200,VHI - Super Gentrification or Exclusion
9001060100,MHI - Advanced Gentrification
9001060200,MHI - Advanced Gentrification
9001060300,VHI - Super Gentrification or Exclusion
9001060400,VHI - Super Gentrification or Exclusion
9001060500,VHI - Super Gentrification or Exclusion
9001060600,MHI - Stable or Early Stage of Exclusion
9001060700,VHI - Super Gentrification or Exclusion
9001060800,VHI - Super Gentrification or Exclusion
9001060900,MHI - Advanced Gentrification
9001061000,MHI - Stable or Early Stage of Exclusion
9001061100,VHI - Super Gentrification or Exclusion
9001061200,MHI - Stable or Early Stage of Exclusion
9001061300,MHI - Stable or Early Stage of Exclusion
9001061400,MHI - Stable or Early Stage of Exclusion
9001061500,MHI - Ongoing Exclusion
9001061600,MHI - Advanced Exclusion
9001070100,MHI - Ongoing Exclusion
9001070200,LI - Ongoing Displacement of Low-Income Households
9001070300,LI - At Risk of Gentrification
9001070400,LI - Ongoing Displacement of Low-Income Households
9001070500,LI - At Risk of Gentrification
9001070600,LI - At Risk of Gentrification
9001070900,LI - At Risk of Gentrification
9001071000,LI - Ongoing Displacement of Low-Income Households
9001071100,LI - Ongoing Displacement of Low-Income Households
9001071200,LI - Ongoing Displacement of Low-Income Households
9001071300,LI - At Risk of Gentrification
9001071400,LI - Ongoing Displacement of Low-Income Households
9001071600,LI - At Risk of Gentrification
9001071900,LI - At Risk of Gentrification
9001072000,LI - Ongoing Displacement of Low-Income Households
9001072100,LI - At Risk of Gentrification
9001072200,LI - At Risk of Gentrification
9001072300,MHI - Stable or Early Stage of Exclusion
9001072400,LI - At Risk of Gentrification
9001072500,MHI - Stable or Early Stage of Exclusion
9001072600,MHI - Ongoing Exclusion
9001072700,MHI - Stable or Early Stage of Exclusion
9001072800,LI - At Risk of Gentrification
9001072900,MHI - Stable or Early Stage of Exclusion
9001073000,MHI - Stable or Early Stage of Exclusion
9001073100,LI - At Risk of Gentrification
9001073200,LI - Ongoing Displacement of Low-Income Households
9001073300,LI - Ongoing Displacement of Low-Income Households
9001073400,LI - At Risk of Gentrification
9001073500,LI - At Risk of Gentrification
