,hinc00,total_tweets,local_tweets,medhval00,pop00,neighbor_tweets,other_tweets,medrent00,popden00,pag25up00,per_rent_00,other_daytime_oddratio,other_weekend_oddratio,other_weekday_oddratio,weekday_oddratio,other_nighttime_oddratio,nighttime_oddratio,localpercentage,pernwh00,daytime_oddratio,weekend_oddratio,percol00,visitorpercentage,local_nighttime_oddratio,pasian00,local_weekday_oddratio,pnhblk00,local_weekend_oddratio,local_daytime_oddratio,nbrpercentage,Wednesday_oddratio,Monday_oddratio,Friday_oddratio,Thursday_oddratio,Tuesday_oddratio,Saturday_oddratio,Sunday_oddratio,neighbor_weekday_oddratio,neighbor_nighttime_oddratio,neighbor_daytime_oddratio,neighbor_weekend_oddratio,carcommuters_00,distToHighVisitorTract,distToHighTweetTract,distToMHI,TOD,phisp00,userwith5_count,unempden00,total_users
Logit_Raw,-1.653013600585125e-05,-3.8017657735360723e-06,-2.710243113980645e-06,-2.6115862838343482e-06,-8.752880093695906e-07,-8.46113991841146e-07,-2.4540866771428886e-07,-1.8208548610743564e-07,-5.337552311246038e-09,-2.95684385832403e-10,-2.4349983953359043e-10,-2.312154589331182e-10,-2.247601941634519e-10,-1.911844709939761e-10,-1.8487345278679616e-10,-1.8472920622430813e-10,-1.8402757282577718e-10,-1.6097799307789926e-10,-1.5584496375763267e-10,-1.303834762215141e-10,-1.2953759626049555e-10,-1.0329281360250585e-10,-1.0142339446916859e-10,-1.0090514882627929e-10,-9.721604895805374e-11,-9.394295510327797e-11,-9.053808891018507e-11,-6.703503797462621e-11,-6.007284425162062e-11,-5.211988314118861e-11,-4.987075786654002e-11,-4.6550603448804e-11,-4.586399836685119e-11,-4.4317056503560695e-11,-4.413503496788949e-11,-4.282339371319744e-11,-4.0850204180447455e-11,-2.939384459100589e-11,-2.888691563767282e-11,-2.3232967503514937e-11,-2.2726038550182537e-11,-1.3901005234681832e-11,-4.113516595379383e-12,-2.08651985062666e-12,-7.744618287198293e-13,3.2250238272677284e-11,5.1653177622790496e-11,4.449001992764132e-08,8.670343102460901e-08,4.955150652964556e-07
DT_Raw,0.17030326751422165,0.0,0.0,0.0,0.0,0.0,0.0,0.07256811090271631,0.0,0.3203939652496358,0.318350642763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04100091936195137,0.0,0.07738309420780291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Raw,0.17030326751422165,0.0,0.0,0.0,0.0,0.0,0.0,0.07256811090271631,0.0,0.3203939652496358,0.318350642763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04100091936195137,0.0,0.0,0.0,0.0,0.0,0.0,0.07738309420780291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Raw,-4.581901333756944,-4.543609323288588,2.207257317258776,-1.4208317103944965,0.14286188606751962,-0.1297668103968835,-12.132662240254895,0.7665076212310121,-0.770233559551817,-5.623410730340585,-1.617236865861616,1.8176558276231107,1.2748004346715196,0.3034938538033799,-0.9149856442018305,-0.039741563964477714,-2.84009853553401,0.8731859860717438,-7.126156684976049,1.6239992946471087,-0.5993996283933252,0.12893059405476193,0.5630508368420065,1.3739011902816525,4.9101557756310745,0.7922885311898706,6.765408233600871,0.713915812204651,-0.12073890755565282,0.3234590189336009,-1.4912926739545587,-0.2541585069599761,-1.5227531648446,-0.42556006421505094,0.03544354318147107,0.11299055023843488,-0.04537951209942518,0.8202170855403823,0.5740420091355026,0.047691214461042596,-0.41058647926003156,1.295634888652557,-0.4624994665785895,-0.6104141713755928,-0.5511415914549376,0.2151535355056048,7.291400225957007,-0.042259547894531596,8.184844587056604,16.2760020689519
Logit_Scaled,-0.5817608979166329,-0.39878282408018256,0.17847582401222448,-0.17375857517068385,0.011007486313102239,-0.011070948902875067,-1.0173287005218015,0.11071400718111243,-0.11395190787282398,-0.5939421928882564,-0.42871437487228853,0.1312870036580068,0.06038074076819755,-0.05277001964816481,-0.08336139100110841,-0.12034643944574203,-0.2705696033055945,0.010148248736982392,-2.3565410829671944,0.17587782896403936,-0.04509604807588988,0.020085624043676028,-0.00463968079334119,0.10851370585706435,0.6393369915746285,0.0359429805637708,2.11489249651958,-0.025408873071868125,-0.10566133132608874,-0.01594234692109251,-0.15609830931137422,-0.01983777096612817,-0.1135416255166954,-0.04193114226210325,0.003197926816266441,0.004844590242786992,-0.010091036025679245,0.03155983510826351,0.010037902504039522,-0.03949817617458753,-0.08126855286951647,0.3677038436508238,-0.054768956993691706,-0.07331577176503103,-0.08645335665701362,0.08326239042854387,1.6619879603058634,-0.0024066994299111106,0.37537569345721783,1.459095384791577
DT_Scaled,0.17030326751422165,0.0,0.0,0.0,0.0,0.0,0.0,0.07256811090271631,0.0,0.3203939652496358,0.318350642763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04100091936195137,0.0,0.07738309420780291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Scaled,0.17030326751422165,0.0,0.0,0.0,0.0,0.0,0.0,0.07256811090271631,0.0,0.3203939652496358,0.318350642763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04100091936195137,0.0,0.0,0.0,0.0,0.0,0.0,0.07738309420780291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Scaled,-4.581901333756944,-4.543609323288588,2.207257317258776,-1.4208317103944965,0.14286188606751962,-0.1297668103968835,-12.132662240254895,0.7665076212310121,-0.770233559551817,-5.623410730340585,-1.617236865861616,1.8176558276231107,1.2748004346715196,0.3034938538033799,-0.9149856442018305,-0.039741563964477714,-2.84009853553401,0.8731859860717438,-7.126156684976049,1.6239992946471087,-0.5993996283933252,0.12893059405476193,0.5630508368420065,1.3739011902816525,4.9101557756310745,0.7922885311898706,6.765408233600871,0.713915812204651,-0.12073890755565282,0.3234590189336009,-1.4912926739545587,-0.2541585069599761,-1.5227531648446,-0.42556006421505094,0.03544354318147107,0.11299055023843488,-0.04537951209942518,0.8202170855403823,0.5740420091355026,0.047691214461042596,-0.41058647926003156,1.295634888652557,-0.4624994665785895,-0.6104141713755928,-0.5511415914549376,0.2151535355056048,7.291400225957007,-0.042259547894531596,8.184844587056604,16.2760020689519
Logit_Minmaxed,-4.581901333756944,-4.543609323288588,2.207257317258776,-1.4208317103944965,0.14286188606751962,-0.1297668103968835,-12.132662240254895,0.7665076212310121,-0.770233559551817,-5.623410730340585,-1.617236865861616,1.8176558276231107,1.2748004346715196,0.3034938538033799,-0.9149856442018305,-0.039741563964477714,-2.84009853553401,0.8731859860717438,-7.126156684976049,1.6239992946471087,-0.5993996283933252,0.12893059405476193,0.5630508368420065,1.3739011902816525,4.9101557756310745,0.7922885311898706,6.765408233600871,0.713915812204651,-0.12073890755565282,0.3234590189336009,-1.4912926739545587,-0.2541585069599761,-1.5227531648446,-0.42556006421505094,0.03544354318147107,0.11299055023843488,-0.04537951209942518,0.8202170855403823,0.5740420091355026,0.047691214461042596,-0.41058647926003156,1.295634888652557,-0.4624994665785895,-0.6104141713755928,-0.5511415914549376,0.2151535355056048,7.291400225957007,-0.042259547894531596,8.184844587056604,16.2760020689519
DT_Minmaxed,0.17030326751422165,0.0,0.0,0.0,0.0,0.0,0.0,0.07256811090271631,0.0,0.3203939652496358,0.318350642763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04100091936195137,0.0,0.0,0.0,0.0,0.0,0.0,0.07738309420780291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Minmaxed,0.17030326751422165,0.0,0.0,0.0,0.0,0.0,0.0,0.07256811090271631,0.0,0.3203939652496358,0.318350642763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04100091936195137,0.0,0.0,0.0,0.0,0.0,0.0,0.07738309420780291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Minmaxed,-4.581901333756944,-4.543609323288588,2.207257317258776,-1.4208317103944965,0.14286188606751962,-0.1297668103968835,-12.132662240254895,0.7665076212310121,-0.770233559551817,-5.623410730340585,-1.617236865861616,1.8176558276231107,1.2748004346715196,0.3034938538033799,-0.9149856442018305,-0.039741563964477714,-2.84009853553401,0.8731859860717438,-7.126156684976049,1.6239992946471087,-0.5993996283933252,0.12893059405476193,0.5630508368420065,1.3739011902816525,4.9101557756310745,0.7922885311898706,6.765408233600871,0.713915812204651,-0.12073890755565282,0.3234590189336009,-1.4912926739545587,-0.2541585069599761,-1.5227531648446,-0.42556006421505094,0.03544354318147107,0.11299055023843488,-0.04537951209942518,0.8202170855403823,0.5740420091355026,0.047691214461042596,-0.41058647926003156,1.295634888652557,-0.4624994665785895,-0.6104141713755928,-0.5511415914549376,0.2151535355056048,7.291400225957007,-0.042259547894531596,8.184844587056604,16.2760020689519
