,total_tweets,local_tweets,other_tweets,pop00,neighbor_tweets,total_users,medhval00,medrent00,userwith5_count,popden00,pag25up00,other_daytime_oddratio,other_weekend_oddratio,other_weekday_oddratio,other_nighttime_oddratio,per_rent_00,localpercentage,weekday_oddratio,nighttime_oddratio,pernwh00,daytime_oddratio,weekend_oddratio,visitorpercentage,local_weekday_oddratio,local_nighttime_oddratio,percol00,local_daytime_oddratio,local_weekend_oddratio,phisp00,Sunday_oddratio,Saturday_oddratio,Monday_oddratio,Tuesday_oddratio,Wednesday_oddratio,Thursday_oddratio,Friday_oddratio,pnhblk00,pasian00,nbrpercentage,neighbor_nighttime_oddratio,distToHighVisitorTract,neighbor_weekday_oddratio,neighbor_weekend_oddratio,neighbor_daytime_oddratio,distToHighTweetTract,distToMHI,carcommuters_00,TOD,unempden00,hinc00
Logit_Raw,-3.364748282217803e-05,-1.873249389504882e-05,-1.1947325520169902e-05,-3.0538643066063765e-06,-2.96766340695938e-06,-2.6185392816331775e-06,-1.1726529911986394e-06,-6.21696412810495e-07,-4.934295021863302e-07,-1.8074382160043162e-07,-9.722749455848618e-10,-9.106642397193414e-10,-9.093089805427146e-10,-7.764864155353277e-10,-7.75131156358705e-10,-7.35528017546952e-10,-7.029264404987777e-10,-7.011361591720741e-10,-6.988493154896118e-10,-5.878151559710449e-10,-5.491598175992787e-10,-5.468729739168156e-10,-4.362150709864114e-10,-4.1632067610638977e-10,-4.076200838713563e-10,-4.001833447075313e-10,-2.953063566274189e-10,-2.866057643923853e-10,-2.465745560169422e-10,-1.975209725430753e-10,-1.8785740290327177e-10,-1.8025918320012695e-10,-1.752997315940783e-10,-1.7469602884628157e-10,-1.7088121553158754e-10,-1.614945984704695e-10,-1.5824077263561033e-10,-1.4728690390138687e-10,-1.1043881360644406e-10,-6.682908486157e-11,-6.034975621916009e-11,-5.677323344990933e-11,-5.366558015653527e-11,-4.360972874487433e-11,-3.7500596803679314e-11,-9.855231797972189e-13,3.73625157598908e-11,1.326070360111049e-10,7.025777063869651e-07,1.0468752551019988e-05
DT_Raw,0.0,0.017726086122785832,0.0,0.0,0.0,0.0,0.04912074632077336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07347984160969448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31874495710775863,0.0,0.0,0.5409283688389878
RF_Raw,0.0,0.017726086122785832,0.0,0.0,0.0,0.0,0.04912074632077336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07347984160969448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31874495710775863,0.0,0.0,0.5409283688389878
SVM_Raw,-10.83059108480856,-2.168736381310143,-19.189700968934787,-1.5785824528297752,1.3204966216814902,-1.0075918388284886,-12.300292896519421,0.4278839544009819,43.603470172353035,-23.425988205979262,-22.11609011534076,-1.7625699044017678,8.335748592420764,-12.745206833961314,-7.010938129030581,1.3117806553654972,-4.392768569516329,6.240392871071684,0.9679692449151849,-13.65404580016715,15.396211237316196,12.861087978427449,-1.7689169072813293,1.6474260316295397,2.744194444546711,-13.166061924416008,-8.572781367283744,-9.921072554296114,-16.854022604680075,10.828888537868801,4.784895426872057,-4.134475931488051,14.654936953646232,-3.8569328508199474,-3.4314356056653423,11.797844840422933,10.384742738389113,8.134819315028874,-4.655675556523114,-10.218100489996543,0.16363114784569943,1.1899303251884514,-10.975381844481944,1.1326975806182338,-2.4944376334919665,-1.6530987141112825,6.894144284658533,0.9404427095624562,48.79712362287451,37.01561194478328
Logit_Scaled,-1.347546104408688,-0.19774999120571876,-2.5184014395929273,-0.11106302105223351,0.22596185944984973,-0.6364955677740206,-1.8908236809685108,0.10556886289423735,4.466602314298793,-5.455878827931011,-2.657690752096503,0.8020542192529558,1.9501760343308427,-1.5720421547590757,-0.8053495564443303,0.7302195341184377,0.1567647491828166,25.530915739456905,19.788191164916544,-5.735800136912311,22.08386395566828,31.325500986952246,-0.07067594660935637,1.3696104265762672,1.049478890015618,-2.4457028409422965,-0.9054290241607518,-1.493117586068477,-2.395883104891068,23.149996148931095,21.36538018289109,15.758800717993395,18.102477045304546,15.8636781945382,15.266202212277063,14.187468862691954,3.8581963321756154,1.4420110117959972,-0.24865566654683297,-0.8917663310404916,-0.009101896493024805,0.15463382056489333,-0.795308853913146,0.40848817013822303,-0.33177904686422527,-1.0892583208733877,2.123570233219942,0.390763306304709,3.516272724312514,5.391352679246698
DT_Scaled,0.0,0.0,0.0,0.0,0.0,0.0,0.04912074632077336,0.0,0.0,0.0,0.017726086122785832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07347984160969448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31874495710775863,0.0,0.0,0.5409283688389878
RF_Scaled,0.0,0.017726086122785832,0.0,0.0,0.0,0.0,0.04912074632077336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07347984160969448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31874495710775863,0.0,0.0,0.5409283688389878
SVM_Scaled,-10.83059108480856,-2.168736381310143,-19.189700968934787,-1.5785824528297752,1.3204966216814902,-1.0075918388284886,-12.300292896519421,0.4278839544009819,43.603470172353035,-23.425988205979262,-22.11609011534076,-1.7625699044017678,8.335748592420764,-12.745206833961314,-7.010938129030581,1.3117806553654972,-4.392768569516329,6.240392871071684,0.9679692449151849,-13.65404580016715,15.396211237316196,12.861087978427449,-1.7689169072813293,1.6474260316295397,2.744194444546711,-13.166061924416008,-8.572781367283744,-9.921072554296114,-16.854022604680075,10.828888537868801,4.784895426872057,-4.134475931488051,14.654936953646232,-3.8569328508199474,-3.4314356056653423,11.797844840422933,10.384742738389113,8.134819315028874,-4.655675556523114,-10.218100489996543,0.16363114784569943,1.1899303251884514,-10.975381844481944,1.1326975806182338,-2.4944376334919665,-1.6530987141112825,6.894144284658533,0.9404427095624562,48.79712362287451,37.01561194478328
Logit_Minmaxed,-10.83059108480856,-2.168736381310143,-19.189700968934787,-1.5785824528297752,1.3204966216814902,-1.0075918388284886,-12.300292896519421,0.4278839544009819,43.603470172353035,-23.425988205979262,-22.11609011534076,-1.7625699044017678,8.335748592420764,-12.745206833961314,-7.010938129030581,1.3117806553654972,-4.392768569516329,6.240392871071684,0.9679692449151849,-13.65404580016715,15.396211237316196,12.861087978427449,-1.7689169072813293,1.6474260316295397,2.744194444546711,-13.166061924416008,-8.572781367283744,-9.921072554296114,-16.854022604680075,10.828888537868801,4.784895426872057,-4.134475931488051,14.654936953646232,-3.8569328508199474,-3.4314356056653423,11.797844840422933,10.384742738389113,8.134819315028874,-4.655675556523114,-10.218100489996543,0.16363114784569943,1.1899303251884514,-10.975381844481944,1.1326975806182338,-2.4944376334919665,-1.6530987141112825,6.894144284658533,0.9404427095624562,48.79712362287451,37.01561194478328
DT_Minmaxed,0.0,0.017726086122785832,0.0,0.0,0.0,0.0,0.04912074632077336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07347984160969448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31874495710775863,0.0,0.0,0.5409283688389878
RF_Minmaxed,0.0,0.017726086122785832,0.0,0.0,0.0,0.0,0.04912074632077336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07347984160969448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31874495710775863,0.0,0.0,0.5409283688389878
SVM_Minmaxed,-10.83059108480856,-2.168736381310143,-19.189700968934787,-1.5785824528297752,1.3204966216814902,-1.0075918388284886,-12.300292896519421,0.4278839544009819,43.603470172353035,-23.425988205979262,-22.11609011534076,-1.7625699044017678,8.335748592420764,-12.745206833961314,-7.010938129030581,1.3117806553654972,-4.392768569516329,6.240392871071684,0.9679692449151849,-13.65404580016715,15.396211237316196,12.861087978427449,-1.7689169072813293,1.6474260316295397,2.744194444546711,-13.166061924416008,-8.572781367283744,-9.921072554296114,-16.854022604680075,10.828888537868801,4.784895426872057,-4.134475931488051,14.654936953646232,-3.8569328508199474,-3.4314356056653423,11.797844840422933,10.384742738389113,8.134819315028874,-4.655675556523114,-10.218100489996543,0.16363114784569943,1.1899303251884514,-10.975381844481944,1.1326975806182338,-2.4944376334919665,-1.6530987141112825,6.894144284658533,0.9404427095624562,48.79712362287451,37.01561194478328
