,hinc00,local_tweets,pop00,neighbor_tweets,medrent00,carcommuters_00,pernwh00,localpercentage,local_weekday_oddratio,weekday_oddratio,local_nighttime_oddratio,local_daytime_oddratio,daytime_oddratio,phisp00,other_weekend_oddratio,nighttime_oddratio,local_weekend_oddratio,per_rent_00,other_daytime_oddratio,pnhblk00,weekend_oddratio,pag25up00,other_nighttime_oddratio,pasian00,other_weekday_oddratio,Tuesday_oddratio,popden00,Monday_oddratio,Wednesday_oddratio,Thursday_oddratio,Friday_oddratio,nbrpercentage,Sunday_oddratio,distToHighVisitorTract,neighbor_weekday_oddratio,Saturday_oddratio,neighbor_daytime_oddratio,neighbor_nighttime_oddratio,neighbor_weekend_oddratio,distToMHI,distToHighTweetTract,visitorpercentage,percol00,TOD,unempden00,userwith5_count,medhval00,total_tweets,total_users,other_tweets
Logit_Raw,-3.824056580682259e-05,-3.617410277962529e-05,-1.755817390557565e-05,-1.0307584702601777e-06,-3.2464967062171197e-07,-2.053177880151619e-09,-2.0112848978836245e-09,-1.999196709837247e-09,-1.1966684392972818e-09,-1.1821378207259017e-09,-1.1056910717095728e-09,-8.935056381276527e-10,-8.8932483837412e-10,-8.536681369240289e-10,-8.400986188624206e-10,-8.321973798254714e-10,-8.025282705399509e-10,-7.236501887487359e-10,-7.200395537365303e-10,-5.957684766756241e-10,-5.393843974736941e-10,-5.361784872058421e-10,-5.285106839282489e-10,-4.863663481555936e-10,-4.0845161880234287e-10,-3.281655212741799e-10,-3.0880369311975346e-10,-3.046226580672317e-10,-2.8912473965051087e-10,-2.6022490173397583e-10,-2.5627181481917145e-10,-1.9718576230752977e-10,-1.6937636701537033e-10,-1.1896659201604234e-10,-1.1734629680512288e-10,-1.1373621563916066e-10,-1.0892116304058906e-10,-8.826459926694125e-11,-7.983946550240575e-11,-4.411064890480611e-11,-3.7300442611970725e-11,4.739161172400023e-10,6.336410338332069e-10,7.077532281446795e-10,1.4741230275103485e-08,2.5089100077329107e-06,3.051655399779916e-06,4.8693275275291395e-06,1.553042663395825e-05,4.207418877741486e-05
DT_Raw,0.36598245645547167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25877124000544854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534299804284264,0.0,0.0,0.0,0.0,0.0,0.021816323110653325,0.0,0.0,0.0,0.0
RF_Raw,0.36598245645547167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25877124000544854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534299804284264,0.0,0.0,0.0,0.0,0.0,0.021816323110653325,0.0,0.0,0.0,0.0
SVM_Raw,-20.349607494424507,1.4217457954571115,-8.485053151240175,0.27795186498234165,3.1454290214924288,-0.8687394248927212,-2.495320301331625,-2.611067133402834,-2.071766526372775,4.039202117295183,-1.8253260601328698,-1.8094920769420857,4.4763291903062985,2.2767477216861045,-0.03247360986796366,3.4112018609978847,-2.4689615858408156,-0.228073645137767,-2.3523864847782967,2.4003462087853644,5.200891046807398,1.0080343813959038,-2.4837904987920183,-1.3923771578969737,-3.352208358831292,1.2544279071325226,1.2939814663804414,3.3809126821896123,1.834025370738472,2.216802475036348,1.4326737042877542,-1.645996025137377,3.848115231851678,-0.6716886504481284,0.179184413672781,5.204415443733349,-1.5926360148558845,-1.46986826408371,-3.566510908376691,-5.725417234318759,-0.2285817161265438,-1.184947502115353,2.940471233099037,0.2053355259749012,5.178886541580588,-0.916131949066011,3.7188877547152153,0.23214926435319277,4.176678151539591,-1.502929905989322
Logit_Scaled,-2.579523331275312,0.11365396791621027,-0.6502024382151494,0.029087837993217628,0.4537750982057646,-0.24639811157106445,-0.8123937887088495,-0.010563476679467205,0.07293254994744124,0.3597006769486937,-0.006505631075531461,-0.01344463107749401,0.3844065805668457,0.5108220954912517,0.22278750062409253,0.2787445409540392,-0.12268124542533432,-0.059591941831236894,0.017689441487039288,0.7387800930268831,0.5408663318536227,0.10682455699841154,0.006045455920912923,-0.18491551819135868,-0.1446854376222548,0.11269220240578938,0.18971705076518114,0.3184591680141772,0.2321064169911227,0.260854674007997,0.10796843216612498,-0.002544213180096129,0.3722698473575939,-0.07929267845997097,0.15386464116462018,0.4855272642529789,-0.007301952998149173,0.002623612318389725,-0.22115095467697654,-0.8978014109313961,-0.027179015475187997,0.01281115777849116,0.45051297413592695,0.07944792453705171,0.2380107865017408,-0.06677162598170816,0.45443862774098476,0.010598739203274565,0.3741431323224552,-0.12299298289312668
DT_Scaled,0.36598245645547167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25877124000544854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534299804284264,0.0,0.0,0.0,0.0,0.0,0.021816323110653325,0.0,0.0,0.0,0.0
RF_Scaled,0.36598245645547167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25877124000544854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534299804284264,0.0,0.0,0.0,0.0,0.0,0.021816323110653325,0.0,0.0,0.0,0.0
SVM_Scaled,-20.349607494424507,1.4217457954571115,-8.485053151240175,0.27795186498234165,3.1454290214924288,-0.8687394248927212,-2.495320301331625,-2.611067133402834,-2.071766526372775,4.039202117295183,-1.8253260601328698,-1.8094920769420857,4.4763291903062985,2.2767477216861045,-0.03247360986796366,3.4112018609978847,-2.4689615858408156,-0.228073645137767,-2.3523864847782967,2.4003462087853644,5.200891046807398,1.0080343813959038,-2.4837904987920183,-1.3923771578969737,-3.352208358831292,1.2544279071325226,1.2939814663804414,3.3809126821896123,1.834025370738472,2.216802475036348,1.4326737042877542,-1.645996025137377,3.848115231851678,-0.6716886504481284,0.179184413672781,5.204415443733349,-1.5926360148558845,-1.46986826408371,-3.566510908376691,-5.725417234318759,-0.2285817161265438,-1.184947502115353,2.940471233099037,0.2053355259749012,5.178886541580588,-0.916131949066011,3.7188877547152153,0.23214926435319277,4.176678151539591,-1.502929905989322
Logit_Minmaxed,-20.349607494424507,1.4217457954571115,-8.485053151240175,0.27795186498234165,3.1454290214924288,-0.8687394248927212,-2.495320301331625,-2.611067133402834,-2.071766526372775,4.039202117295183,-1.8253260601328698,-1.8094920769420857,4.4763291903062985,2.2767477216861045,-0.03247360986796366,3.4112018609978847,-2.4689615858408156,-0.228073645137767,-2.3523864847782967,2.4003462087853644,5.200891046807398,1.0080343813959038,-2.4837904987920183,-1.3923771578969737,-3.352208358831292,1.2544279071325226,1.2939814663804414,3.3809126821896123,1.834025370738472,2.216802475036348,1.4326737042877542,-1.645996025137377,3.848115231851678,-0.6716886504481284,0.179184413672781,5.204415443733349,-1.5926360148558845,-1.46986826408371,-3.566510908376691,-5.725417234318759,-0.2285817161265438,-1.184947502115353,2.940471233099037,0.2053355259749012,5.178886541580588,-0.916131949066011,3.7188877547152153,0.23214926435319277,4.176678151539591,-1.502929905989322
DT_Minmaxed,0.36598245645547167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25877124000544854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534299804284264,0.0,0.0,0.0,0.0,0.0,0.021816323110653325,0.0,0.0,0.0,0.0
