GEOID,Typology
34031256804,MHI - At Risk of Exclusion
34031246300,MHI - At Risk of Exclusion
34031181200,LI - Not Losing Low-Income Households
34031256803,MHI - At Risk of Exclusion
34031182400,LI - Not Losing Low-Income Households
34031181702,LI - Not Losing Low-Income Households
34031256805,MHI - At Risk of Exclusion
34031124200,MHI - At Risk of Exclusion
34031124900,LI - Not Losing Low-Income Households
34031180100,MHI - Displacement of LI hh - Ongoing Exclusion
34031183000,LI - Not Losing Low-Income Households
34031116500,MHI - At Risk of Exclusion
34031180700,LI - Not Losing Low-Income Households
34031124402,MHI - Displacement of LI hh - Ongoing Exclusion
34031256802,MHI - At Risk of Exclusion
34005701001,LI - Not Losing Low-Income Households
34017012800,LI - Not Losing Low-Income Households
34017012900,LI - Not Losing Low-Income Households
34031124311,MHI - At Risk of Exclusion
34031124312,MHI - Displacement of LI hh - Ongoing Exclusion
34031124321,MHI - At Risk of Exclusion
34031124323,MHI - At Risk of Exclusion
34031124401,MHI - Displacement of LI hh - Ongoing Exclusion
34031124500,LI - Not Losing Low-Income Households
34031125000,LI - Not Losing Low-Income Households
34031143200,MHI - At Risk of Exclusion
34031143300,MHI - At Risk of Exclusion
34031143400,MHI - Displacement of LI hh - Ongoing Exclusion
34031124601,LI - Not Losing Low-Income Households
34031175200,LI - Not Losing Low-Income Households
34031175500,LI - Not Losing Low-Income Households
34013020902,MHI - At Risk of Exclusion
34013021000,MHI - At Risk of Exclusion
34013021100,MHI - At Risk of Exclusion
34013021200,MHI - At Risk of Exclusion
34013021602,MHI - At Risk of Exclusion
34031175900,LI - Ongoing Displacement of Low- Income Households
34031180300,LI - Not Losing Low-Income Households
34031180600,LI - Not Losing Low-Income Households
34031180800,LI - Not Losing Low-Income Households
34031180900,LI - Not Losing Low-Income Households
34031181000,LI - Not Losing Low-Income Households
34039038101,MHI - At Risk of Exclusion
34039038102,MHI - At Risk of Exclusion
34039038300,MHI - At Risk of Exclusion
34039038400,MHI - Displacement of LI hh - Ongoing Exclusion
34039038700,MHI - Displacement of LI hh - Ongoing Exclusion
34039038900,LI - Not Losing Low-Income Households
34039039100,MHI - At Risk of Exclusion
34039039200,LI - Not Losing Low-Income Households
34039039300,LI - Not Losing Low-Income Households
34007603901,MHI - Displacement of LI hh - Ongoing Exclusion
34007603902,MHI - At Risk of Exclusion
34007608202,MHI - Not Losing Low-Income Households
34007601600,LI - Not Losing Low-Income Households
34007604100,LI - Not Losing Low-Income Households
34007604200,MHI - At Risk of Exclusion
34007604300,MHI - At Risk of Exclusion
34007604400,MHI - Displacement of LI hh - Ongoing Exclusion
34007608302,LI - Not Losing Low-Income Households
34003030300,LI - Not Losing Low-Income Households
34003030400,LI - Ongoing Displacement of Low- Income Households
34003041200,LI - Not Losing Low-Income Households
34003042100,MHI - At Risk of Exclusion
34035050200,LI - Ongoing Displacement of Low- Income Households
34035050400,LI - Not Losing Low-Income Households
34035050500,LI - Ongoing Displacement of Low- Income Households
34035050600,LI - Ongoing Displacement of Low- Income Households
34035050901,MHI - At Risk of Exclusion
